,"Estimatednumberofroadtrafficdeaths","Estimatedroadtrafficdeathrate(per100000population)"
"Country","2013","2013"
"Afghanistan","4734","15.5"
"Albania","478","15.1"
"Algeria","9337","23.8"
"Andorra","6","7.6"
"Angola","5769","26.9"
"AntiguaandBarbuda","6","6.7"
"Argentina","5619","13.6"
"Armenia","546","18.3"
"Australia","1252","5.4"
"Austria","455","5.4"
"Azerbaijan","943","10.0"
"Bahamas","52","13.8"
"Bahrain","107","8.0"
"Bangladesh","21316","13.6"
"Barbados","19","6.7"
"Belarus","1282","13.7"
"Belgium","746","6.7"
"Belize","81","24.4"
"Benin","2855","27.7"
"Bhutan","114","15.1"
"Bolivia(PlurinationalStateof)","2476","23.2"
"BosniaandHerzegovina","676","17.7"
"Botswana","477","23.6"
"Brazil","46935","23.4"
"Bulgaria","601","8.3"
"BurkinaFaso","5072","30.0"
"C̫ted'Ivoire","4924","24.2"
"CaboVerde","130","26.1"
"Cambodia","2635","17.4"
"Cameroon","6136","27.6"
"Canada","2114","6.0"
"CentralAfricanRepublic","1495","32.4"
"Chad","3089","24.1"
"Chile","2179","12.4"
"China","261367","18.8"
"Colombia","8107","16.8"
"Congo","1174","26.4"
"CookIslands","5","24.2"
"CostaRica","676","13.9"
"Croatia","395","9.2"
"Cuba","840","7.5"
"Cyprus","59","5.2"
"Czechia","654","6.1"
"DemocraticRepublicoftheCongo","22419","33.2"
"Denmark","196","3.5"
"Djibouti","216","24.7"
"Dominica","11","15.3"
"DominicanRepublic","3052","29.3"
"Ecuador","3164","20.1"
"Egypt","10466","12.8"
"ElSalvador","1339","21.1"
"Eritrea","1527","24.1"
"Estonia","90","7.0"
"Ethiopia","23837","25.3"
"Fiji","51","5.8"
"Finland","258","4.8"
"France","3268","5.1"
"Gabon","383","22.9"
"Gambia","544","29.4"
"Georgia","514","11.8"
"Germany","3540","4.3"
"Ghana","6789","26.2"
"Greece","1013","9.1"
"Guatemala","2939","19.0"
"Guinea","3211","27.3"
"Guinea-Bissau","468","27.5"
"Guyana","138","17.3"
"Honduras","1408","17.4"
"Hungary","765","7.7"
"Iceland","15","4.6"
"India","207551","16.6"
"Indonesia","38279","15.3"
"Iran(IslamicRepublicof)","24896","32.1"
"Iraq","6826","20.2"
"Ireland","188","4.1"
"Israel","277","3.6"
"Italy","3721","6.1"
"Jamaica","320","11.5"
"Japan","5971","4.7"
"Jordan","1913","26.3"
"Kazakhstan","3983","24.2"
"Kenya","12891","29.1"
"Kiribati","3","2.9"
"Kuwait","629","18.7"
"Kyrgyzstan","1220","22.0"
"LaoPeople'sDemocraticRepublic","971","14.3"
"Latvia","205","10.0"
"Lebanon","1088","22.6"
"Lesotho","584","28.2"
"Liberia","1448","33.7"
"Libya","4554","24.2"
"Lithuania","320","10.6"
"Luxembourg","46","8.7"
"Madagascar","6506","28.4"
"Malawi","5732","35.0"
"Malaysia","7129","24.0"
"Maldives","12","3.5"
"Mali","3920","25.6"
"Malta","22","5.1"
"MarshallIslands","3","5.7"
"Mauritania","952","24.5"
"Mauritius","152","12.2"
"Mexico","15062","12.3"
"Micronesia(FederatedStatesof)","2","1.9"
"Monaco","0.00000",".0"
"Mongolia","597","21.0"
"Montenegro","74","11.9"
"Morocco","6870","20.8"
"Mozambique","8173","31.6"
"Myanmar","10809","20.3"
"Namibia","551","23.9"
"Nepal","4713","17.0"
"Netherlands","574","3.4"
"NewZealand","272","6.0"
"Nicaragua","931","15.3"
"Niger","4706","26.4"
"Nigeria","35641","20.5"
"Norway","192","3.8"
"Oman","924","25.4"
"Pakistan","25781","14.2"
"Palau","1","4.8"
"Panama","386","10.0"
"PapuaNewGuinea","1232","16.8"
"Paraguay","1408","20.7"
"Peru","4234","13.9"
"Philippines","10379","10.5"
"Poland","3931","10.3"
"Portugal","828","7.8"
"Qatar","330","15.2"
"RepublicofKorea","5931","12.0"
"RepublicofMoldova","437","12.5"
"Romania","1881","8.7"
"RussianFederation","27025","18.9"
"Rwanda","3782","32.1"
"SaintLucia","33","18.1"
"SaintVincentandtheGrenadines","9","8.2"
"Samoa","30","15.8"
"SanMarino","1","3.2"
"SaoTomeandPrincipe","60","31.1"
"SaudiArabia","7898","27.4"
"Senegal","3844","27.2"
"Serbia","735","7.7"
"Seychelles","8","8.6"
"SierraLeone","1661","27.3"
"Singapore","197","3.6"
"Slovakia","360","6.6"
"Slovenia","132","6.4"
"SolomonIslands","108","19.2"
"Somalia","2664","25.4"
"SouthAfrica","13273","25.1"
"Spain","1730","3.7"
"SriLanka","3691","17.4"
"Sudan","9221","24.3"
"Suriname","103","19.1"
"Swaziland","303","24.2"
"Sweden","272","2.8"
"Switzerland","269","3.3"
"Tajikistan","1543","18.8"
"Thailand","24237","36.2"
"TheformerYugoslavrepublicofMacedonia","198","9.4"
"Timor-Leste","188","16.6"
"Togo","2123","31.1"
"Tonga","8","7.6"
"TrinidadandTobago","189","14.1"
"Tunisia","2679","24.4"
"Turkey","6687","8.9"
"Turkmenistan","914","17.4"
"Uganda","10280","27.4"
"UnitedArabEmirates","1021","10.9"
"UnitedKingdomofGreatBritainandNorthernIreland","1827","2.9"
"UnitedRepublicofTanzania","16211","32.9"
"UnitedStatesofAmerica","34064","10.6"
"Uruguay","567","16.6"
"Uzbekistan","3240","11.2"
"Vanuatu","42","16.6"
"VietNam","22419","24.5"
"Yemen","5248","21.5"
"Zambia","3586","24.7"
"Zimbabwe","3985","28.2"
